(0,000, 75,000, -75,000)
(0,000, 75,000, 75,000)
(6708,204, 75,000, 75,000)
(6708,204, 75,000, -75,000)
(0,000, 75,000, -75,000)
(0,000, 75,000, 75,000)
(6708,204, 75,000, 75,000)
(6708,204, 75,000, -75,000)
(0,000, 75,000, 75,000)
(0,000, -75,000, 75,000)
(6708,204, -75,000, 75,000)
(6708,204, 75,000, 75,000)
(0,000, 75,000, -75,000)
(0,000, 75,000, 75,000)
(6708,204, 75,000, 75,000)
(6708,204, 75,000, -75,000)
(0,000, 75,000, 75,000)
(0,000, -75,000, 75,000)
(6708,204, -75,000, 75,000)
(6708,204, 75,000, 75,000)
(0,000, -75,000, -75,000)
(0,000, 75,000, -75,000)
(6708,204, 75,000, -75,000)
(6708,204, -75,000, -75,000)
(-424,853, 75,000, -924,706)
(-424,853, 75,000, -774,706)
(6283,351, 75,000, -774,706)
(6283,351, 75,000, -924,706)
(0,000, -75,000, 75,000)
(0,000, -75,000, -75,000)
(6708,204, -75,000, -75,000)
(6708,204, -75,000, 75,000)
(0,000, -75,000, 75,000)
(0,000, 75,000, 75,000)
(0,000, 75,000, -75,000)
(0,000, -75,000, -75,000)
(6708,204, 75,000, 75,000)
(6708,204, -75,000, 75,000)
(6708,204, -75,000, -75,000)
(6708,204, 75,000, -75,000)
(0,000, -75,000, 75,000)
(0,000, 75,000, 75,000)
(0,000, 75,000, -75,000)
(0,000, -75,000, -75,000)
(0,000, -75,000, 75,000)
(0,000, 75,000, 75,000)
(0,000, 75,000, -75,000)
(0,000, -75,000, -75,000)
(0,000, -75,000, 75,000)
(0,000, 75,000, 75,000)
(0,000, 75,000, -75,000)
(0,000, -75,000, -75,000)
(0,000, -75,000, -75,000)
(0,000, 75,000, -75,000)
(6708,204, 75,000, -75,000)
(6708,204, -75,000, -75,000)
(0,000, -75,000, 75,000)
(0,000, -75,000, -75,000)
(6708,204, -75,000, -75,000)
(6708,204, -75,000, 75,000)
(0,000, 75,000, 75,000)
(0,000, -75,000, 75,000)
(6708,204, -75,000, 75,000)
(6708,204, 75,000, 75,000)
(0,000, 75,000, -75,000)
(0,000, 75,000, 75,000)
(6708,204, 75,000, 75,000)
(6708,204, 75,000, -75,000)
(0,000, -75,000, 75,000)
(0,000, -75,000, -75,000)
(6708,204, -75,000, -75,000)
(6708,204, -75,000, 75,000)
(0,000, -75,000, -75,000)
(0,000, 75,000, -75,000)
(6708,204, 75,000, -75,000)
(6708,204, -75,000, -75,000)
(0,000, -75,000, 75,000)
(0,000, 75,000, 75,000)
(0,000, 75,000, -75,000)
(0,000, -75,000, -75,000)
(0,000, -75,000, -75,000)
(0,000, 75,000, -75,000)
(5000,000, 75,000, -75,000)
(5000,000, -75,000, -75,000)
(0,000, -75,000, 75,000)
(0,000, -75,000, -75,000)
(5000,000, -75,000, -75,000)
(5000,000, -75,000, 75,000)
(5000,000, 75,000, 75,000)
(5000,000, -75,000, 75,000)
(5000,000, -75,000, -75,000)
(5000,000, 75,000, -75,000)
(0,000, 75,000, -75,000)
(0,000, 75,000, 75,000)
(6708,204, 75,000, 75,000)
(6708,204, 75,000, -75,000)
(0,000, 75,000, 75,000)
(0,000, -75,000, 75,000)
(6708,204, -75,000, 75,000)
(6708,204, 75,000, 75,000)
(0,000, -75,000, -75,000)
(0,000, 75,000, -75,000)
(6708,204, 75,000, -75,000)
(6708,204, -75,000, -75,000)
(0,000, 75,000, -75,000)
(0,000, 75,000, 75,000)
(6708,204, 75,000, 75,000)
(6708,204, 75,000, -75,000)
(0,000, -75,000, -75,000)
(0,000, 75,000, -75,000)
(6708,204, 75,000, -75,000)
(6708,204, -75,000, -75,000)
(0,000, 75,000, -75,000)
(0,000, 75,000, 75,000)
